================================================================================
process logger: Sun Apr 28 11:53:56 2019
================================================================================

{'pid': 2302, 'vms': 581.8359375, 'name': 'bamfdaemon', 'username': 'inarvekar'}
{'pid': 2319, 'vms': 362.8671875, 'name': 'ibus-daemon', 'username': 'inarvekar'}
{'pid': 2336, 'vms': 740.12109375, 'name': 'gvfsd', 'username': 'inarvekar'}
{'pid': 2361, 'vms': 397.328125, 'name': 'gvfsd-fuse', 'username': 'inarvekar'}
{'pid': 2363, 'vms': 330.08984375, 'name': 'at-spi-bus-launcher', 'username': 'inarvekar'}
{'pid': 2377, 'vms': 258.08203125, 'name': 'ibus-dconf', 'username': 'inarvekar'}
{'pid': 2378, 'vms': 42.015625, 'name': 'dbus-daemon', 'username': 'inarvekar'}
{'pid': 2379, 'vms': 479.46875, 'name': 'ibus-ui-gtk3', 'username': 'inarvekar'}
{'pid': 2397, 'vms': 423.63671875, 'name': 'ibus-x11', 'username': 'inarvekar'}
{'pid': 2398, 'vms': 202.015625, 'name': 'at-spi2-registryd', 'username': 'inarvekar'}
{'pid': 2543, 'vms': 183.97265625, 'name': 'ibus-engine-simple', 'username': 'inarvekar'}
{'pid': 2594, 'vms': 827.59765625, 'name': 'hud-service', 'username': 'inarvekar'}
{'pid': 2596, 'vms': 1174.23828125, 'name': 'unity-settings-daemon', 'username': 'inarvekar'}
{'pid': 2606, 'vms': 557.86328125, 'name': 'gnome-session-binary', 'username': 'inarvekar'}
{'pid': 2633, 'vms': 658.81640625, 'name': 'unity-panel-service', 'username': 'inarvekar'}
{'pid': 2722, 'vms': 501.37109375, 'name': 'gnome-screensaver', 'username': 'inarvekar'}
{'pid': 2726, 'vms': 174.734375, 'name': 'dconf-service', 'username': 'inarvekar'}
{'pid': 2751, 'vms': 1496.15625, 'name': 'compiz', 'username': 'inarvekar'}
{'pid': 2854, 'vms': 339.41015625, 'name': 'upowerd', 'username': 'root'}
{'pid': 2880, 'vms': 426.2578125, 'name': 'indicator-messages-service', 'username': 'inarvekar'}
{'pid': 2881, 'vms': 397.5859375, 'name': 'indicator-bluetooth-service', 'username': 'inarvekar'}
{'pid': 2882, 'vms': 764.51171875, 'name': 'indicator-power-service', 'username': 'inarvekar'}
