================================================================================
process logger: Thu May  9 16:31:35 2019
================================================================================

{'pid': 790, 'vms': 0.0, 'username': 'root', 'name': 'bioset'}
{'pid': 791, 'vms': 0.0, 'username': 'root', 'name': 'loop22'}
{'pid': 812, 'vms': 0.0, 'username': 'root', 'name': 'bioset'}
{'pid': 818, 'vms': 0.0, 'username': 'root', 'name': 'loop23'}
{'pid': 831, 'vms': 0.0, 'username': 'root', 'name': 'bioset'}
{'pid': 832, 'vms': 0.0, 'username': 'root', 'name': 'loop24'}
{'pid': 841, 'vms': 0.0, 'username': 'root', 'name': 'bioset'}
{'pid': 843, 'vms': 0.0, 'username': 'root', 'name': 'loop25'}
{'pid': 980, 'vms': 0.0, 'username': 'root', 'name': 'irq/51-DLL07D1:'}
{'pid': 1221, 'vms': 99.984375, 'username': 'systemd-timesync', 'name': 'systemd-timesyncd'}
{'pid': 1228, 'vms': 25.43359375, 'username': 'root', 'name': 'atd'}
{'pid': 1233, 'vms': 250.3828125, 'username': 'syslog', 'name': 'rsyslogd'}
{'pid': 1235, 'vms': 91.39453125, 'username': 'root', 'name': 'cupsd'}
{'pid': 1238, 'vms': 43.328125, 'username': 'messagebus', 'name': 'dbus-daemon'}
{'pid': 1253, 'vms': 28.05859375, 'username': 'root', 'name': 'systemd-logind'}
{'pid': 1254, 'vms': 28.328125, 'username': 'root', 'name': 'cron'}
{'pid': 1256, 'vms': 269.3984375, 'username': 'root', 'name': 'accounts-daemon'}
{'pid': 1259, 'vms': 403.83984375, 'username': 'root', 'name': 'ModemManager'}
{'pid': 1266, 'vms': 4.29296875, 'username': 'root', 'name': 'acpid'}
{'pid': 1267, 'vms': 43.98828125, 'username': 'avahi', 'name': 'avahi-daemon'}
{'pid': 1278, 'vms': 31.20703125, 'username': 'root', 'name': 'bluetoothd'}
{'pid': 1282, 'vms': 162.5234375, 'username': 'root', 'name': 'thermald'}
{'pid': 1285, 'vms': 583.20703125, 'username': 'root', 'name': 'NetworkManager'}
{'pid': 1298, 'vms': 43.734375, 'username': 'avahi', 'name': 'avahi-daemon'}
{'pid': 1315, 'vms': 538.25, 'username': 'root', 'name': 'snapd'}
{'pid': 1364, 'vms': 19.109375, 'username': 'root', 'name': 'irqbalance'}
{'pid': 1391, 'vms': 275.34375, 'username': 'root', 'name': 'polkitd'}
{'pid': 1397, 'vms': 294.08203125, 'username': 'colord', 'name': 'colord'}
{'pid': 1398, 'vms': 268.5078125, 'username': 'root', 'name': 'cups-browsed'}
{'pid': 1402, 'vms': 1146.01171875, 'username': 'mysql', 'name': 'mysqld'}
{'pid': 1425, 'vms': 79.33984375, 'username': 'lp', 'name': 'dbus'}
{'pid': 1454, 'vms': 342.16796875, 'username': 'root', 'name': 'lightdm'}
{'pid': 1743, 'vms': 0.0, 'username': 'root', 'name': 'bioset'}
{'pid': 1800, 'vms': 715.265625, 'username': 'root', 'name': 'Xorg'}
{'pid': 1827, 'vms': 43.00390625, 'username': 'root', 'name': 'wpa_supplicant'}
{'pid': 2039, 'vms': 240.7890625, 'username': 'root', 'name': 'lightdm'}
{'pid': 2060, 'vms': 44.34375, 'username': 'inarvekar', 'name': 'systemd'}
{'pid': 2063, 'vms': 80.19140625, 'username': 'inarvekar', 'name': '(sd-pam)'}
{'pid': 2069, 'vms': 45.3828125, 'username': 'inarvekar', 'name': 'upstart'}
{'pid': 2187, 'vms': 32.08984375, 'username': 'inarvekar', 'name': 'upstart-udev-bridge'}
{'pid': 2198, 'vms': 43.2265625, 'username': 'inarvekar', 'name': 'dbus-daemon'}
{'pid': 2210, 'vms': 84.3203125, 'username': 'inarvekar', 'name': 'window-stack-bridge'}
{'pid': 2220, 'vms': 207.55078125, 'username': 'inarvekar', 'name': 'gnome-keyring-daemon'}
{'pid': 2265, 'vms': 582.09765625, 'username': 'inarvekar', 'name': 'bamfdaemon'}
{'pid': 2269, 'vms': 40.31640625, 'username': 'inarvekar', 'name': 'upstart-file-bridge'}
{'pid': 2270, 'vms': 32.0234375, 'username': 'inarvekar', 'name': 'upstart-dbus-bridge'}
{'pid': 2271, 'vms': 32.09375, 'username': 'inarvekar', 'name': 'upstart-dbus-bridge'}
{'pid': 2287, 'vms': 339.39453125, 'username': 'inarvekar', 'name': 'ibus-daemon'}
{'pid': 2293, 'vms': 268.08203125, 'username': 'inarvekar', 'name': 'gvfsd'}
{'pid': 2303, 'vms': 397.328125, 'username': 'inarvekar', 'name': 'gvfsd-fuse'}
{'pid': 2305, 'vms': 258.08203125, 'username': 'inarvekar', 'name': 'ibus-dconf'}
{'pid': 2307, 'vms': 472.1875, 'username': 'inarvekar', 'name': 'ibus-ui-gtk3'}
{'pid': 2311, 'vms': 423.6484375, 'username': 'inarvekar', 'name': 'ibus-x11'}
{'pid': 2314, 'vms': 330.09375, 'username': 'inarvekar', 'name': 'at-spi-bus-launcher'}
{'pid': 2332, 'vms': 42.01171875, 'username': 'inarvekar', 'name': 'dbus-daemon'}
{'pid': 2347, 'vms': 202.015625, 'username': 'inarvekar', 'name': 'at-spi2-registryd'}
{'pid': 2432, 'vms': 183.97265625, 'username': 'inarvekar', 'name': 'ibus-engine-simple'}
{'pid': 2557, 'vms': 717.94140625, 'username': 'inarvekar', 'name': 'hud-service'}
{'pid': 2560, 'vms': 912.6796875, 'username': 'inarvekar', 'name': 'unity-settings-daemon'}
{'pid': 2591, 'vms': 557.7265625, 'username': 'inarvekar', 'name': 'gnome-session-binary'}
{'pid': 2626, 'vms': 650.00390625, 'username': 'inarvekar', 'name': 'unity-panel-service'}
{'pid': 2708, 'vms': 174.73046875, 'username': 'inarvekar', 'name': 'dconf-service'}
{'pid': 2728, 'vms': 1490.4609375, 'username': 'inarvekar', 'name': 'compiz'}
{'pid': 2786, 'vms': 339.390625, 'username': 'root', 'name': 'upowerd'}
{'pid': 2830, 'vms': 502.93359375, 'username': 'inarvekar', 'name': 'gnome-screensaver'}
{'pid': 2860, 'vms': 346.25390625, 'username': 'inarvekar', 'name': 'indicator-messages-service'}
{'pid': 2861, 'vms': 397.58984375, 'username': 'inarvekar', 'name': 'indicator-bluetooth-service'}
{'pid': 2862, 'vms': 764.6171875, 'username': 'inarvekar', 'name': 'indicator-power-service'}
{'pid': 2863, 'vms': 1204.0390625, 'username': 'inarvekar', 'name': 'indicator-datetime-service'}
{'pid': 2874, 'vms': 640.88671875, 'username': 'inarvekar', 'name': 'indicator-keyboard-service'}
{'pid': 2875, 'vms': 719.73828125, 'username': 'inarvekar', 'name': 'indicator-sound-service'}
{'pid': 2876, 'vms': 540.61328125, 'username': 'inarvekar', 'name': 'indicator-printers-service'}
{'pid': 2877, 'vms': 930.5546875, 'username': 'inarvekar', 'name': 'indicator-session-service'}
{'pid': 2893, 'vms': 397.8359375, 'username': 'inarvekar', 'name': 'indicator-application-service'}
{'pid': 2950, 'vms': 1217.91015625, 'username': 'inarvekar', 'name': 'evolution-source-registry'}
{'pid': 2994, 'vms': 433.30859375, 'username': 'inarvekar', 'name': 'pulseaudio'}
{'pid': 3001, 'vms': 179.2421875, 'username': 'rtkit', 'name': 'rtkit-daemon'}
{'pid': 3031, 'vms': 847.01171875, 'username': 'inarvekar', 'name': 'evolution-calendar-factory'}
{'pid': 3037, 'vms': 21.84375, 'username': 'inarvekar', 'name': 'syndaemon'}
{'pid': 3099, 'vms': 756.09765625, 'username': 'inarvekar', 'name': 'nm-applet'}
{'pid': 3108, 'vms': 660.109375, 'username': 'inarvekar', 'name': 'indicator-stick'}
{'pid': 3111, 'vms': 797.0078125, 'username': 'inarvekar', 'name': 'evolution-calendar-factory-subprocess'}
{'pid': 3112, 'vms': 725.3359375, 'username': 'inarvekar', 'name': 'gnome-software'}
{'pid': 3117, 'vms': 1420.37890625, 'username': 'inarvekar', 'name': 'nautilus'}
{'pid': 3122, 'vms': 424.9296875, 'username': 'inarvekar', 'name': 'polkit-gnome-authentication-agent-1'}
{'pid': 3132, 'vms': 568.9765625, 'username': 'inarvekar', 'name': 'unity-fallback-mount-helper'}
{'pid': 3146, 'vms': 12.234375, 'username': 'inarvekar', 'name': 'bash'}
{'pid': 3156, 'vms': 3392.12109375, 'username': 'inarvekar', 'name': 'skypeforlinux'}
{'pid': 3183, 'vms': 278.75, 'username': 'inarvekar', 'name': 'gvfs-udisks2-volume-monitor'}
{'pid': 3216, 'vms': 493.03125, 'username': 'root', 'name': 'fwupd'}
{'pid': 3229, 'vms': 359.26953125, 'username': 'root', 'name': 'udisksd'}
{'pid': 3233, 'vms': 367.87890625, 'username': 'inarvekar', 'name': 'skypeforlinux'}
{'pid': 3249, 'vms': 845.625, 'username': 'inarvekar', 'name': 'evolution-calendar-factory-subprocess'}
{'pid': 3251, 'vms': 674.390625, 'username': 'inarvekar', 'name': 'evolution-addressbook-factory'}
{'pid': 3263, 'vms': 253.4375, 'username': 'inarvekar', 'name': 'gvfs-mtp-volume-monitor'}
{'pid': 3269, 'vms': 505.890625, 'username': 'inarvekar', 'name': 'notify-osd'}
{'pid': 3282, 'vms': 820.12890625, 'username': 'inarvekar', 'name': 'evolution-addressbook-factory-subprocess'}
